Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),"	24h Low (USD)",Adj Close,Volume
USD,1/29/2015,233.513,233.348007,238.705994,220.712006,233.513,32213400
USD,1/30/2015,226.425003,232.772003,242.850998,225.839005,226.425003,26605200
USD,1/31/2015,217.464005,226.440994,233.503998,216.309006,217.464005,23348200
USD,2/1/2015,226.972,216.867004,231.574005,212.014999,226.972,29128500
USD,2/2/2015,238.229004,226.490997,242.175003,222.658997,238.229004,30612100
USD,2/3/2015,227.268005,237.453995,245.957001,224.483002,227.268005,40783700
USD,2/4/2015,226.852997,227.511002,230.057999,221.113007,226.852997,26594300
USD,2/5/2015,217.110992,227.664993,239.404999,214.725006,217.110992,22516400
USD,2/6/2015,222.266006,216.923004,230.509995,216.231995,222.266006,24435300
USD,2/7/2015,227.753998,222.632996,230.298996,222.606995,227.753998,21604200
USD,2/8/2015,223.412003,227.692993,229.438004,221.076996,223.412003,17145200
USD,2/9/2015,220.110001,223.389008,223.977005,217.018997,220.110001,27791300
USD,2/10/2015,219.839005,220.281998,221.807007,215.332001,219.839005,21115100
USD,2/11/2015,219.184998,219.731995,223.406006,218.074005,219.184998,17201900
USD,2/12/2015,221.764008,219.207993,222.199005,217.613998,221.764008,15206200
USD,2/13/2015,235.427002,221.968994,240.259003,221.261993,235.427002,42744400
USD,2/14/2015,257.321014,235.528,259.808014,235.528,257.321014,49732500
USD,2/15/2015,234.824997,257.506989,265.610992,227.684006,234.824997,56552400
USD,2/16/2015,233.843002,234.824997,239.520996,229.022003,233.843002,28153700
USD,2/17/2015,243.610001,233.421997,245.774994,232.313995,243.610001,27363100
USD,2/18/2015,236.326004,243.779999,244.251007,232.339996,236.326004,25200800
USD,2/19/2015,240.283005,236.410004,242.671997,235.591995,240.283005,18270500
USD,2/20/2015,243.779007,240.251007,247.100998,239.298996,243.779007,23876700
USD,2/21/2015,244.533997,243.751999,255.320007,243.184006,244.533997,12284200
USD,2/22/2015,235.977005,244.544006,246.391998,233.850998,235.977005,19527000
USD,2/23/2015,238.891998,235.994995,240.108994,232.421005,238.891998,16400000
USD,2/24/2015,238.735001,238.998001,239.901001,236.401993,238.735001,14200400
USD,2/25/2015,237.470001,238.889999,239.339996,235.529999,237.470001,11496200
USD,2/26/2015,236.425995,237.337006,237.710007,234.257004,236.425995,13619400
USD,2/27/2015,253.828003,236.436005,256.653015,236.436005,253.828003,44013900
USD,2/28/2015,254.263,253.520004,254.692001,249.479004,254.263,13949300
USD,3/1/2015,260.201996,254.283005,261.660004,245.932999,260.201996,25213700
